Year,Week,Max_Temp_C_mean,Max_Temp_C_max,Max_Temp_C_std,Min_Temp_C_mean,Min_Temp_C_min,Min_Temp_C_std,Temp_Range_mean,Temp_Range_max,Rainfall_mm_sum,Rainfall_mm_max,Rainfall_mm_rainy_days,Evaporation_mm_mean,Evaporation_mm_sum,Radiation_MJ_m2_mean,Radiation_MJ_m2_sum,Vapour_Pressure_hPa_mean,Vapour_Pressure_hPa_min,Vapour_Pressure_hPa_max,RH_at_Max_Temp_pct_mean,RH_at_Max_Temp_pct_min,RH_at_Min_Temp_pct_mean,RH_at_Min_Temp_pct_max,Deaths,is_surge
2015,1,0.8237321516494336,0.7208588957055215,0.10737189286309673,0.7786985880908532,0.737704918032787,0.429749485773549,0.8094170403587444,0.7127659574468086,0.0,0.0,0.0,0.8192534381139489,0.4361493123772102,0.8512893982808023,0.377650429799427,0.7897672162948595,0.8283582089552239,0.7322404371584701,0.25061915244909183,0.3395833333333333,0.9477401129943506,1.0,40.0,0
2015,2,0.6745445593303789,0.6993865030674846,0.4872453868906613,0.8815224063842849,0.889344262295082,0.20135520831478493,0.3874439461883407,0.553191489361702,0.6759410801963993,0.6024759284731773,1.0,0.5579567779960708,0.5579567779960708,0.49971346704871056,0.49971346704871056,0.8894277400581962,0.9477611940298507,0.7486338797814207,0.5247660979636763,0.5041666666666667,0.9499596448748997,1.0,36.0,0
2015,3,0.5593303791235843,0.50920245398773,0.16578040834016444,0.752608962553714,0.6639344262295083,0.4586502311692686,0.3659192825112107,0.5265957446808509,0.16775777414075288,0.2585969738651994,0.3333333333333333,0.6110019646365422,0.6110019646365422,0.8143266475644699,0.8143266475644699,0.5470417070805045,0.44776119402985076,0.5245901639344261,0.41001651073197576,0.3645833333333333,0.6452784503631965,1.0,38.0,0
2015,4,0.6356474643032988,0.6411042944785277,0.41659079140145866,0.8305709023941069,0.8401639344262297,0.15413726164209937,0.3910313901345291,0.44148936170212766,0.2618657937806874,0.4126547455295736,0.5,0.6444007858546169,0.6444007858546169,0.6613180515759314,0.6613180515759312,0.8225024248302619,0.7014925373134329,0.8087431693989071,0.5055035773252613,0.6145833333333333,0.9164648910411615,1.0,36.0,0
2015,5,0.4372230428360413,0.42331288343558277,0.24954167782273604,0.6599140577041129,0.6270491803278689,0.3618742830673551,0.27892376681614345,0.36170212765957427,0.00981996726677578,0.011004126547455296,0.3333333333333333,0.46758349705304514,0.46758349705304525,0.518624641833811,0.518624641833811,0.39961202715809896,0.38059701492537307,0.37704918032786877,0.4457897633461749,0.5083333333333333,0.64769975786925,0.845070422535211,29.0,0
2015,6,0.606105366814377,0.7116564417177913,0.5337648219084,0.661755678330264,0.6434426229508198,0.17721811115778568,0.5838565022421525,0.6595744680851063,0.07692307692307693,0.1292984869325997,0.16666666666666666,0.6876227897838899,0.6876227897838899,0.7375358166189111,0.7375358166189112,0.4936954413191078,0.5373134328358209,0.4426229508196721,0.3106769400110071,0.33541666666666664,0.8793381759483461,1.0,41.0,0
2015,7,0.5952732644017723,0.5828220858895705,0.32224783494539627,0.8508287292817679,0.8688524590163935,0.1070677607003942,0.28789237668161444,0.2819148936170212,0.022913256955810146,0.03851444291609353,0.16666666666666666,0.5304518664047151,0.5304518664047152,0.4120343839541547,0.4120343839541547,0.735208535402522,0.835820895522388,0.6010928961748634,0.5132085855806273,0.5979166666666667,0.8058918482647297,1.0,32.0,0
2015,8,0.6991629739044805,0.6349693251533743,0.12446070374421778,0.79987722529159,0.8360655737704918,0.059363999742940904,0.5515695067264572,0.4840425531914892,0.0,0.0,0.0,0.5559921414538311,0.555992141453831,0.6171919770773638,0.6171919770773638,0.7681862269641127,0.8582089552238805,0.6557377049180328,0.38387451843698395,0.5249999999999999,0.9806295399515739,1.0,37.0,0
2015,9,0.639586410635155,0.6503067484662577,0.47963155475276364,0.8004910988336403,0.7991803278688525,0.11143536871724574,0.44215246636771294,0.4840425531914892,0.03927986906710311,0.0577716643741403,0.3333333333333333,0.5166994106090372,0.5166994106090373,0.42922636103151857,0.4292263610315187,0.6944713870029098,0.7462686567164178,0.5901639344262295,0.4223995597138138,0.46666666666666673,0.8631961259079903,1.0,40.0,0
2015,10,0.5987198424421466,0.5736196319018405,0.29821246853927663,0.6243093922651933,0.5573770491803279,0.49331565301435076,0.6251121076233186,0.6063829787234043,0.0,0.0,0.0,0.5795677799607072,0.5795677799607072,0.6240687679083092,0.6240687679083093,0.3724539282250242,0.13432835820895528,0.4863387978142076,0.1959273527793065,0.17708333333333331,0.6327683615819211,1.0,34.0,0
2015,11,0.6095519448547513,0.6042944785276074,0.4437402956442881,0.6433394720687539,0.5532786885245902,0.39215981173652564,0.6170403587443949,0.6276595744680853,0.0,0.0,0.0,0.5933202357563849,0.593320235756385,0.5770773638968482,0.5770773638968482,0.48593598448108655,0.48507462686567165,0.540983606557377,0.2894881673087506,0.3874999999999999,0.8071025020177565,1.0,49.0,0
2015,12,0.5937961595273263,0.6257668711656441,0.513611045077097,0.5972989564149785,0.5368852459016394,0.3791291639911382,0.6556053811659195,0.771276595744681,0.04582651391162029,0.07702888583218706,0.16666666666666666,0.4538310412573675,0.4538310412573674,0.43954154727793693,0.43954154727793693,0.4568380213385064,0.3656716417910448,0.5519125683060109,0.2828838745184369,0.34583333333333327,0.857949959644875,1.0,40.0,0
