Feature,Importance,Coefficient
Radiation_MJ_m2_sum@w6,1.7065113,0.27875453
is_bad_air_week_lag_1@w1,1.699657,-0.7778898
is_bad_air_week@w2,1.6996536,-0.7778916
is_bad_air_week_lag_2@w0,1.6995463,-0.777874
Temp_Range_max@w4,1.680725,0.47296298
Min_Temp_C_mean@w6,1.6797788,1.4244854
Vapour_Pressure_hPa_max@w7,1.6587372,1.6587372
Evaporation_mm_sum@w1,1.639445,1.639445
Evaporation_mm_mean@w1,1.6393734,1.6393734
Max_Temp_C_max@w7,1.6314487,-1.1131402
Temp_Range_mean@w1,1.5990969,-1.3447646
Min_Temp_C_mean@w0,1.5983516,-1.0370296
Max_Temp_C_mean@w6,1.5884454,1.5681856
Rainfall_mm_max@w0,1.5800554,1.5800554
Rainfall_mm_sum@w3,1.5742612,-0.48464987
Vapour_Pressure_hPa_mean@w2,1.5734034,0.22349566
Evaporation_mm_mean@w4,1.568227,-0.18189627
Evaporation_mm_sum@w4,1.5682266,-0.18189606
Temp_Range_mean@w7,1.567978,0.04728336
Evaporation_mm_sum@w5,1.5618836,-0.62112397
Evaporation_mm_mean@w5,1.5618815,-0.6211222
RH_at_Min_Temp_pct_max@w4,1.5585308,-0.04543081
Evaporation_mm_mean@w3,1.5562024,-0.80334413
Evaporation_mm_sum@w3,1.5562023,-0.80334425
Rainfall_mm_sum@w4,1.5359911,-0.33144483
Rainfall_mm_sum@w7,1.5280259,1.0378249
Temp_Range_max@w3,1.504081,0.4828536
RH_at_Min_Temp_pct_max@w1,1.5008241,-0.7774389
RH_at_Max_Temp_pct_mean@w2,1.4987059,-0.43363214
Max_Temp_C_std@w5,1.4628996,-1.347534
Rainfall_mm_rainy_days@w6,1.4367728,-0.14876476
RH_at_Max_Temp_pct_mean@w6,1.424639,0.036526084
Rainfall_mm_rainy_days@w3,1.421179,-1.2254612
RH_at_Min_Temp_pct_max@w3,1.4196907,-0.7468023
RH_at_Min_Temp_pct_mean@w6,1.4033295,1.4033295
Vapour_Pressure_hPa_min@w4,1.3837669,0.15095241
Temp_Range_mean@w0,1.374357,-0.9452442
Radiation_MJ_m2_mean@w7,1.3631759,0.44165146
Max_Temp_C_mean@w0,1.3506866,-1.3506866
RH_at_Min_Temp_pct_max@w2,1.335352,-0.31280273
Rainfall_mm_max@w4,1.3237995,-0.2447066
Rainfall_mm_max@w5,1.3079348,-0.700336
Max_Temp_C_mean@w1,1.2808646,0.61569
RH_at_Min_Temp_pct_max@w6,1.2731993,0.5223532
Bad_days_count@w4,1.2679881,0.88606995
RH_at_Min_Temp_pct_mean@w5,1.2621691,1.0009582
Max_Temp_C_max@w4,1.2524226,-1.2157799
Rainfall_mm_max@w1,1.2270359,0.55682385
RH_at_Min_Temp_pct_mean@w7,1.2259386,1.0847942
Rainfall_mm_max@w7,1.2243294,-0.71789765
Rainfall_mm_rainy_days@w2,1.215816,-0.65478325
Max_Temp_C_mean@w2,1.1961625,0.967246
is_bad_air_week@w3,1.1907815,-0.48720318
is_bad_air_week_lag_2@w1,1.190765,-0.4872467
is_bad_air_week_lag_1@w2,1.1907407,-0.48725998
Evaporation_mm_mean@w2,1.1797651,0.32249096
Evaporation_mm_sum@w2,1.1797577,0.3224798
Max_Temp_C_max@w2,1.1792228,0.32011753
Radiation_MJ_m2_mean@w5,1.1616945,0.520282
Radiation_MJ_m2_sum@w5,1.1616023,0.5202426
Max_Temp_C_max@w5,1.1142704,0.16911009
Rainfall_mm_max@w6,1.1035581,-0.8945458
Bad_days_count@w7,1.0881758,1.0106544
Min_Temp_C_min@w2,1.0835471,-0.21188599
Rainfall_mm_rainy_days@w4,1.0776559,-0.16424412
is_bad_air_week_lag_4@w5,1.0534697,0.5338736
is_bad_air_week_lag_2@w7,1.0534306,0.5338444
Vapour_Pressure_hPa_mean@w3,1.0482073,-0.4218076
Rainfall_mm_max@w3,1.0464501,-0.1708231
Rainfall_mm_rainy_days@w5,1.0072236,-0.23850462
Min_Temp_C_min@w0,0.9888973,0.5935472
Vapour_Pressure_hPa_mean@w4,0.9788512,-0.45718074
Bad_days_count@w6,0.9661673,0.67471796
Vapour_Pressure_hPa_mean@w7,0.91588986,-0.037080646
Max_Temp_C_max@w3,0.87449485,-0.5973373
Radiation_MJ_m2_mean@w4,0.86332315,-0.83870286
Radiation_MJ_m2_sum@w4,0.86326385,-0.83869314
Bad_days_count@w5,0.84291494,0.84291494
Rainfall_mm_sum@w2,0.83456236,0.044557706
Rainfall_mm_max@w2,0.7809663,-0.05897014
Vapour_Pressure_hPa_mean@w5,0.7336756,-0.6885828
is_bad_air_week_lag_1@w6,0.6979267,-0.6979267
is_bad_air_week_lag_2@w5,0.69791955,-0.69791955
is_bad_air_week_lag_4@w3,0.6979158,-0.6979158
is_bad_air_week@w7,0.69791055,-0.69791055
is_bad_air_week@w4,0.6777202,0.57968765
is_bad_air_week_lag_4@w0,0.67768764,0.57966053
is_bad_air_week_lag_1@w3,0.67764664,0.5795974
is_bad_air_week_lag_2@w2,0.67764425,0.57963246
Min_Temp_C_std@w0,0.6652593,0.6652593
Rainfall_mm_rainy_days@w1,0.6439122,-0.5357035
Vapour_Pressure_hPa_mean@w6,0.50751925,-0.21797577
is_bad_air_week@w5,0.4134934,0.07852046
is_bad_air_week_lag_1@w4,0.41348642,0.07851301
is_bad_air_week_lag_2@w3,0.4134765,0.07850361
is_bad_air_week_lag_4@w1,0.41347435,0.07853055
is_bad_air_week_lag_4@w4,0.3998756,-0.34179407
is_bad_air_week_lag_2@w6,0.3998708,-0.3417608
is_bad_air_week_lag_1@w7,0.39985105,-0.34175992
Year@w0,0.38763642,0.38763642
Year@w1,0.37654406,0.37654406
Year@w2,0.3555187,0.3555187
Rainfall_mm_rainy_days@w0,0.24523923,0.23090813
Year@w3,0.23649703,0.23375247
Min_Temp_C_min@w1,0.21430093,0.20901018
Year@w6,0.15719624,-0.12255952
O3_weekly_mean_lag_4@w6,0.14811344,0.04310765
Year@w4,0.13806614,0.06323987
is_bad_air_week_lag_4@w2,0.13133985,-0.016505763
is_bad_air_week_lag_2@w4,0.13130671,-0.016513199
